日期,銷售方式,訂單來源,是否首次交易,客戶編號,客戶類別,國家,員工編號,部門,產品編號,產品類別,產品名稱,單價,成本,數量,營收,總成本,毛利,客訴
2018/1/8,直銷,實體參展,Y,27,企業用戶,亞洲,345,業務1處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 4 ," $6,000 "," $4,800 ", $957 ,
2018/1/15,直銷,實體參展,Y,128,飯店,亞洲,679,業務1處,C001,配件耗材,濾紙, $120 , $30 , 10 ," $1,200 ", $300 , $780 ,
2018/1/22,直銷,實體參展,Y,1,企業用戶,亞洲,158,業務1處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $164 ,
2018/1/25,直銷,官網網站,Y,120,飯店,亞洲,258,業務1處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,515 ",無任何客訴
2018/1/29,直銷,實體參展,Y,64,餐廳,亞洲,258,業務1處,C005,配件耗材,清潔劑, $400 , $50 , 19 ," $7,600 ", $950 ," $6,284 ",無任何客訴
2018/3/19,直銷,實體參展,Y,95,餐廳,歐洲,931,業務2處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,954 "," $1,094,240 "," $488,500 "," $496,706 ",
2018/3/20,直銷,實體參展,Y,31,企業用戶,美洲,931,業務2處,C005,配件耗材,清潔劑, $400 , $50 , 18 ," $7,200 ", $900 ," $5,166 ",
2018/3/20,經銷,合作經銷通路,Y,183,個人消費者,大洋洲,512,業務3處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 51 ," $1,335,180 "," $663,000 "," $565,975 ",無任何客訴
2018/3/23,直銷,實體參展,Y,60,企業用戶,大洋洲,931,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,476 ",
2018/3/29,直銷,實體參展,Y,35,企業用戶,美洲,455,業務2處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,514 "," $847,840 "," $378,500 "," $384,858 ",
2018/4/9,直銷,實體參展,Y,127,飯店,亞洲,679,業務1處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $173 ,
2018/4/15,直銷,實體參展,Y,66,餐廳,亞洲,679,業務1處,F003,食品原料,美式咖啡豆, $420 , $120 ," 3,520 "," $1,478,400 "," $422,400 "," $877,536 ",
2018/4/16,直銷,實體參展,Y,30,企業用戶,美洲,142,業務2處,C003,配件耗材,過濾器, $500 , $460 , 5 ," $2,500 "," $2,300 ", $173 ,
2018/5/6,直銷,實體參展,Y,156,飯店,歐洲,455,業務2處,C002,配件耗材,密封圈, $300 , $170 , 51 ," $15,300 "," $8,670 "," $5,290 ",
